"sport","region","total"
"Aeronautics","Switzerland",1
"Alpine Skiing","Austria",114
"Alpinism","UK",12
"Archery","South Korea",69
"Art Competitions","Germany",26
"Athletics","USA",1080
"Badminton","China",64
"Baseball","Cuba",112
"Basketball","USA",341
"Basque Pelota","Spain",2
"Beach Volleyball","Brazil",26
"Biathlon","Germany",114
"Bobsleigh","Germany",117
"Boxing","USA",113
"Canoeing","Germany",229
"Cricket","UK",21
"Croquet","France",8
"Cross Country Skiing","Russia",172
"Curling","Canada",48
"Cycling","UK",182
"Diving","USA",140
"Equestrianism","Germany",205
"Fencing","Italy",359
"Figure Skating","Russia",105
"Football","Germany",173
"Freestyle Skiing","USA",21
"Golf","USA",38
"Gymnastics","Russia",399
"Handball","Russia",167
"Hockey","Netherlands",255
"Ice Hockey","Canada",348
"Jeu De Paume","UK",2
"Judo","Japan",84
"Lacrosse","Canada",36
"Luge","Germany",98
"Military Ski Patrol","France",4
"Modern Pentathlon","Hungary",38
"Motorboating","UK",6
"Nordic Combined","Norway",40
"Polo","UK",30
"Racquets","UK",10
"Rhythmic Gymnastics","Russia",49
"Roque","USA",3
"Rowing","Germany",471
"Rugby","France",49
"Rugby Sevens","South Africa",13
"Sailing","UK",143
"Shooting","USA",193
"Short Track Speed Skating","South Korea",73
"Skeleton","USA",8
"Ski Jumping","Austria",43
"Snowboarding","USA",24
"Softball","Australia",60
"Speed Skating","Netherlands",117
"Swimming","USA",1078
"Synchronized Swimming","Russia",54
"Table Tennis","China",83
"Taekwondo","South Korea",19
"Tennis","UK",67
"Trampolining","China",11
"Triathlon","UK",5
"Tug-Of-War","UK",40
"Volleyball","Russia",219
"Water Polo","Hungary",172
"Weightlifting","Russia",97
"Wrestling","Russia",192
