"age","total","concat"
"23",21875,"8.0685%"
"24",21720,"8.0113%"
"22",20814,"7.6772%"
"25",19707,"7.2688%"
"21",19164,"7.0686%"
"26",17675,"6.5193%"
"27",16025,"5.9108%"
"20",15258,"5.6278%"
"28",14043,"5.1797%"
"19",11643,"4.2945%"
"29",11463,"4.2281%"
"30",9488,"3.4996%"
"NA",9474,"3.4944%"
"18",8152,"3.0068%"
"31",7559,"2.7881%"
"32",6246,"2.3038%"
"17",5376,"1.9829%"
"33",4800,"1.7705%"
"34",3985,"1.4699%"
"16",3852,"1.4208%"
"35",3133,"1.1556%"
"36",2503,"0.9232%"
"15",2203,"0.8126%"
"37",1953,"0.7204%"
"38",1612,"0.5946%"
"39",1405,"0.5182%"
"40",1210,"0.4463%"
"41",953,"0.3515%"
"42",866,"0.3194%"
"14",837,"0.3087%"
"43",793,"0.2925%"
"44",683,"0.2519%"
"45",584,"0.2154%"
"46",429,"0.1582%"
"47",408,"0.1505%"
"48",407,"0.1501%"
"49",362,"0.1335%"
"50",278,"0.1025%"
"52",244,"0.0900%"
"53",200,"0.0738%"
"51",199,"0.0734%"
"13",187,"0.0690%"
"54",162,"0.0598%"
"56",131,"0.0483%"
"55",104,"0.0384%"
"60",88,"0.0325%"
"59",87,"0.0321%"
"65",84,"0.0310%"
"58",84,"0.0310%"
"57",69,"0.0255%"
"61",68,"0.0251%"
"62",62,"0.0229%"
"69",60,"0.0221%"
"63",56,"0.0207%"
"12",39,"0.0144%"
"71",33,"0.0122%"
"66",31,"0.0114%"
"64",30,"0.0111%"
"70",28,"0.0103%"
"67",25,"0.0092%"
"68",25,"0.0092%"
"72",24,"0.0089%"
"11",13,"0.0048%"
"74",12,"0.0044%"
"73",8,"0.0030%"
"76",7,"0.0026%"
"75",4,"0.0015%"
"80",3,"0.0011%"
"88",3,"0.0011%"
"81",2,"0.0007%"
"77",2,"0.0007%"
"84",1,"0.0004%"
"96",1,"0.0004%"
"97",1,"0.0004%"
"10",1,"0.0004%"
